tick,n1,n2,x0,y0,vec_x0,vec_y0,x1,y1,vec_x1,vec_y1,x2,y2,vec_x2,vec_y2,x3,y3,vec_x3,vec_y3,x4,y4,vec_x4,vec_y4,x5,y5,vec_x5,vec_y5,x6,y6,vec_x6,vec_y6,x7,y7,vec_x7,vec_y7,x8,y8,vec_x8,vec_y8,x9,y9,vec_x9,vec_y9
24630,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,174.0,173.71875,250.375,178.0,164.0,185.75,182.75,178.0,166.0,79.625,27.40625,176.0,168.0,74.0625,129.21875
24660,4,5,0.0,0.0,0.0,0.0,78.0,84.0,195.40625,87.65624,74.0,88.0,222.125,171.40625,82.0,78.0,229.5,196.78125,76.0,84.0,1.6875,126.9375,178.0,166.0,84.75,60.96875,166.0,176.0,137.78125,10.25,178.0,162.0,153.75,159.46875,178.0,162.0,49.34375,245.78125,174.0,166.0,172.09375,162.59375
24690,4,5,0.0,0.0,0.0,0.0,80.0,82.0,210.28125,193.31248,74.0,90.0,245.875,194.03125,86.0,78.0,17.53125,190.65625,76.0,86.0,20.0,199.59375,176.0,164.0,216.34375,44.1875,164.0,176.0,101.84375,26.6875,178.0,160.0,125.6875,135.75,178.0,160.0,57.0,203.4375,174.0,164.0,13.875,196.15625
24720,4,5,0.0,0.0,0.0,0.0,84.0,82.0,36.3125,200.53125,76.0,92.0,120.15624,194.46875,88.0,78.0,61.5625,184.03125,74.0,90.0,242.34375,17.78125,176.0,162.0,131.5,15.71875,162.0,176.0,65.90624,42.8125,178.0,158.0,128.15625,118.8125,178.0,158.0,62.21875,250.59375,172.0,162.0,87.71875,255.5
24750,4,5,0.0,0.0,0.0,0.0,86.0,82.0,118.34375,207.71875,76.0,94.0,200.375,201.21875,90.0,78.0,105.625,180.03125,74.0,92.0,208.6875,91.96875,176.0,158.0,82.34375,231.875,160.0,176.0,29.9375,58.9375,178.0,156.0,251.34375,122.125,178.0,156.0,68.03124,208.21875,170.0,162.0,148.59375,64.75
24780,4,5,0.0,0.0,0.0,0.0,88.0,82.0,200.375,213.96875,76.0,96.0,147.28125,227.90625,92.0,78.0,145.75,210.625,74.0,94.0,183.53125,156.81248,176.0,156.0,44.875,191.34375,156.0,176.0,254.0,64.8125,180.0,154.0,112.25,130.53125,178.0,154.0,24.1875,171.09375,168.0,160.0,217.06248,122.40624
24810,4,5,0.0,0.0,0.0,0.0,92.0,82.0,26.4375,220.125,76.0,98.0,178.84375,242.90625,94.0,78.0,183.71875,200.96875,74.0,96.0,241.65625,227.59375,176.0,154.0,94.1875,151.53125,154.0,176.0,241.78125,5.09375,180.0,152.0,62.03125,131.0,178.0,152.0,55.25,144.84375,168.0,158.0,29.5625,180.0
24840,4,5,0.0,0.0,0.0,0.0,94.0,82.0,104.90624,219.375,76.0,102.0,252.125,6.0,96.0,78.0,205.59375,125.5,74.0,100.0,191.34375,29.6875,176.0,152.0,61.71875,121.40624,152.0,174.0,205.96875,242.84375,180.0,150.0,19.125,111.03124,178.0,150.0,91.25,120.5,166.0,156.0,97.21875,238.4375
24870,4,5,0.0,0.0,0.0,0.0,96.0,82.0,180.59375,153.84375,78.0,104.0,33.25,35.1875,98.0,78.0,244.625,180.40625,74.0,102.0,181.03125,84.71875,176.0,150.0,33.75,86.875,150.0,174.0,170.125,224.625,178.0,148.0,244.31248,87.625,178.0,148.0,70.34375,81.5,164.0,156.0,157.4375,55.53125
24900,4,5,0.0,0.0,0.0,0.0,98.0,82.0,255.4375,84.28124,78.0,106.0,67.46875,64.78124,102.0,78.0,32.4375,183.6875,74.0,104.0,238.5,155.56248,176.0,148.0,65.65624,44.6875,148.0,174.0,133.75,224.0,178.0,146.0,226.71875,63.1875,178.0,146.0,74.59375,39.09375,162.0,154.0,191.0,153.34375
