tick,n1,n2,x0,y0,vec_x0,vec_y0,x1,y1,vec_x1,vec_y1,x2,y2,vec_x2,vec_y2,x3,y3,vec_x3,vec_y3,x4,y4,vec_x4,vec_y4,x5,y5,vec_x5,vec_y5,x6,y6,vec_x6,vec_y6,x7,y7,vec_x7,vec_y7,x8,y8,vec_x8,vec_y8,x9,y9,vec_x9,vec_y9
28470,4,5,78.0,92.0,14.25,173.21875,0.0,0.0,0.0,0.0,88.0,78.0,43.875,169.15625,80.0,88.0,186.625,240.28125,82.0,90.0,50.6875,118.46875,166.0,174.0,84.6875,242.96875,156.0,172.0,225.09375,39.40625,172.0,164.0,120.15624,30.5625,166.0,174.0,165.25,44.375,174.0,164.0,57.125,45.59375
28500,4,5,78.0,94.0,118.9375,196.40625,0.0,0.0,0.0,0.0,90.0,78.0,76.96875,177.40625,82.0,90.0,137.81248,210.06248,84.0,90.0,68.6875,247.5,164.0,174.0,46.9375,243.53125,154.0,170.0,204.56248,227.78125,170.0,162.0,168.375,91.375,164.0,174.0,122.0,27.5625,172.0,162.0,157.90625,46.21875
28530,4,5,78.0,96.0,222.46875,220.03125,0.0,0.0,0.0,0.0,92.0,78.0,109.6875,189.09375,84.0,92.0,92.09375,176.96875,86.0,92.0,103.84375,113.125,162.0,176.0,6.46875,20.78125,152.0,170.0,173.21875,227.1875,168.0,160.0,210.28125,169.0,162.0,174.0,78.96875,8.3125,170.0,160.0,151.06248,98.25
28560,4,5,78.0,98.0,189.875,228.31248,0.0,0.0,0.0,0.0,94.0,78.0,133.0,218.46875,86.0,94.0,46.90625,143.40625,88.0,92.0,137.75,237.56248,158.0,176.0,221.96875,53.625,150.0,170.0,141.875,226.6875,166.0,160.0,209.15625,45.875,160.0,172.0,36.9375,233.06248,168.0,158.0,134.15625,154.90625
28590,4,5,78.0,102.0,175.59375,8.875,0.0,0.0,0.0,0.0,96.0,78.0,142.46875,116.75,88.0,96.0,18.4375,84.25,90.0,94.0,45.96875,231.6875,156.0,176.0,190.15625,48.03125,148.0,170.0,110.65624,230.46875,164.0,158.0,208.06248,178.75,158.0,172.0,1.34375,209.53125,166.0,156.0,117.25,211.59375
28620,4,5,78.0,104.0,164.15625,50.84375,0.0,0.0,0.0,0.0,98.0,78.0,175.4375,118.5625,90.0,98.0,1.1875,12.59375,92.0,96.0,9.375,173.34375,154.0,176.0,151.34375,2.40625,146.0,170.0,80.25,250.875,162.0,158.0,208.96875,115.71875,156.0,174.0,9.71875,58.0625,164.0,156.0,102.71875,15.90625
28650,4,5,78.0,106.0,161.9375,92.96875,0.0,0.0,0.0,0.0,100.0,78.0,207.125,148.125,90.0,98.0,243.25,200.5,94.0,98.0,2.75,108.5,152.0,174.0,111.5625,219.6875,144.0,172.0,50.875,12.15625,162.0,156.0,82.9375,116.25,152.0,174.0,222.5,75.3125,162.0,154.0,84.8125,73.96875
28680,4,5,78.0,108.0,161.56248,135.125,0.0,0.0,0.0,0.0,102.0,78.0,236.71875,193.65625,92.0,100.0,212.625,149.96875,94.0,100.0,170.53125,119.75,150.0,174.0,73.5625,169.65625,142.0,172.0,24.8125,67.0625,160.0,154.0,145.6875,169.4375,150.0,174.0,179.125,89.59375,160.0,152.0,66.9375,132.0
28710,4,5,78.0,110.0,160.4375,177.28125,0.0,0.0,0.0,0.0,106.0,78.0,11.5,230.90625,94.0,102.0,165.40625,118.28124,96.0,102.0,82.40624,130.9375,148.0,174.0,36.15625,115.75,138.0,172.0,252.46875,104.34375,158.0,152.0,184.34375,241.125,148.0,174.0,135.625,101.375,158.0,150.0,189.53125,96.375
28740,4,5,78.0,112.0,137.5,218.56248,0.0,0.0,0.0,0.0,108.0,80.0,42.78125,8.28125,96.0,104.0,117.96875,86.8125,96.0,104.0,250.06248,142.25,144.0,174.0,254.75,61.84375,136.0,172.0,226.53125,147.90625,158.0,152.0,2.1875,22.40625,146.0,174.0,92.09375,111.25,158.0,148.0,109.78124,26.53125
28770,4,5,78.0,116.0,114.65624,3.875,0.0,0.0,0.0,0.0,110.0,80.0,74.125,40.96875,98.0,106.0,63.25,61.875,98.0,106.0,166.34375,150.59375,142.0,174.0,216.375,35.6875,134.0,172.0,210.09375,239.28125,156.0,150.0,59.71875,73.875,144.0,174.0,48.46875,119.40624,156.0,144.0,255.21875,219.21875
28800,4,5,78.0,118.0,92.21875,45.1875,0.0,0.0,0.0,0.0,112.0,80.0,105.25,75.625,98.0,108.0,245.65625,47.15625,100.0,108.0,181.875,55.15625,140.0,174.0,174.25,46.96875,132.0,174.0,193.78125,75.09375,154.0,148.0,102.90624,140.34375,142.0,174.0,5.3125,135.78125,156.0,142.0,152.84375,161.9375
28830,4,5,78.0,120.0,71.53124,86.65624,0.0,0.0,0.0,0.0,114.0,80.0,136.25,106.0625,100.0,110.0,29.25,82.03124,102.0,108.0,199.96875,211.4375,138.0,174.0,132.15625,58.28125,130.0,174.0,177.56248,167.09375,152.0,146.0,145.21875,207.65625,138.0,174.0,218.90625,163.78125,156.0,140.0,145.875,81.09375
28860,4,5,78.0,122.0,72.53124,124.40624,0.0,0.0,0.0,0.0,116.0,80.0,169.0,89.65624,100.0,112.0,23.09375,132.34375,104.0,110.0,194.5,145.125,136.0,174.0,94.0625,106.15624,128.0,176.0,160.84375,1.5625,150.0,146.0,188.71875,17.625,136.0,174.0,176.46875,191.5,156.0,136.0,134.09375,255.9375
28890,4,5,78.0,124.0,95.71875,163.28125,0.0,0.0,0.0,0.0,118.0,80.0,201.71875,73.25,100.0,114.0,6.15625,182.28125,106.0,112.0,168.46875,104.03124,134.0,174.0,56.4375,158.9375,126.0,176.0,143.53125,48.65625,148.0,144.0,232.625,83.125,134.0,174.0,134.06248,219.31248,156.0,134.0,104.5,175.40625
28920,4,5,78.0,126.0,177.65625,190.81248,0.0,0.0,0.0,0.0,120.0,82.0,73.9375,69.84375,98.0,116.0,237.28125,231.71875,108.0,114.0,113.8125,91.0,132.0,174.0,18.8125,211.65625,124.0,176.0,151.5,66.4375,148.0,142.0,22.34375,146.6875,132.0,174.0,191.125,238.1875,156.0,132.0,61.5,96.40624
28950,4,5,78.0,128.0,151.84375,231.84375,0.0,0.0,0.0,0.0,120.0,84.0,196.625,75.75,98.0,118.0,197.125,40.09375,110.0,116.0,27.65625,81.09375,128.0,176.0,237.06248,7.65625,118.0,176.0,253.25,90.03124,146.0,140.0,69.96875,208.125,130.0,176.0,148.6875,9.90625,156.0,130.0,11.84375,18.125
28980,4,5,78.0,132.0,175.15625,15.375,0.0,0.0,0.0,0.0,122.0,86.0,63.3125,81.625,98.0,116.0,242.125,144.09375,110.0,118.0,35.90625,83.3125,126.0,176.0,202.81248,40.75,110.0,176.0,246.78125,128.46875,144.0,140.0,112.75,19.09375,128.0,176.0,106.21875,37.09375,154.0,126.0,145.375,236.875
29010,4,5,78.0,134.0,219.125,54.28125,0.0,0.0,0.0,0.0,122.0,88.0,217.40625,38.96875,98.0,116.0,227.96875,116.90624,110.0,118.0,32.0,95.96875,124.0,176.0,160.53125,37.46875,108.0,176.0,215.65625,137.34375,142.0,138.0,142.6875,101.40624,126.0,176.0,63.03125,34.9375,154.0,124.0,35.1875,190.84375
29040,4,5,80.0,136.0,7.59375,93.125,0.0,0.0,0.0,0.0,122.0,90.0,253.0,46.125,98.0,116.0,154.9375,104.28124,110.0,118.0,32.0,95.96875,122.0,176.0,118.21875,34.1875,106.0,176.0,184.34375,140.90625,140.0,136.0,187.90625,166.03125,124.0,176.0,19.53125,23.59375,154.0,122.0,62.625,118.6875
29070,4,5,80.0,138.0,51.9375,131.96875,0.0,0.0,0.0,0.0,124.0,90.0,214.25,237.03125,98.0,116.0,154.9375,104.28124,110.0,118.0,32.0,95.96875,120.0,176.0,75.9375,30.90625,104.0,176.0,155.6875,119.375,138.0,134.0,235.25,227.81248,120.0,176.0,231.96875,13.5,156.0,120.0,38.03125,130.81248
29100,4,5,80.0,140.0,109.15624,164.40625,0.0,0.0,0.0,0.0,126.0,92.0,176.25,171.06248,98.0,116.0,154.9375,104.28124,110.0,118.0,32.0,95.96875,118.0,176.0,35.375,19.6875,102.0,176.0,127.53124,98.5,138.0,134.0,32.375,27.53125,118.0,176.0,188.40625,3.40625,156.0,118.0,246.40625,123.25
29130,4,5,80.0,142.0,242.28125,167.40625,0.0,0.0,0.0,0.0,128.0,94.0,137.53125,98.6875,98.0,116.0,154.9375,104.28124,110.0,118.0,32.0,95.96875,116.0,174.0,18.40625,237.25,100.0,174.0,118.625,243.1875,136.0,132.0,86.125,82.65624,116.0,176.0,144.78125,3.625,158.0,116.0,108.46875,64.8125
