tick,n1,n2,x0,y0,vec_x0,vec_y0,x1,y1,vec_x1,vec_y1,x2,y2,vec_x2,vec_y2,x3,y3,vec_x3,vec_y3,x4,y4,vec_x4,vec_y4,x5,y5,vec_x5,vec_y5,x6,y6,vec_x6,vec_y6,x7,y7,vec_x7,vec_y7,x8,y8,vec_x8,vec_y8,x9,y9,vec_x9,vec_y9
29070,5,4,90.0,88.0,8.78125,42.1875,90.0,82.0,102.84375,89.5,90.0,90.0,252.15625,114.46875,78.0,88.0,161.375,235.75,86.0,88.0,252.15625,6.84375,0.0,0.0,0.0,0.0,166.0,166.0,154.125,224.65625,180.0,164.0,25.125,139.34375,164.0,176.0,146.09375,28.21875,178.0,162.0,41.03125,197.9375
29100,5,4,90.0,90.0,196.875,17.53125,92.0,82.0,148.375,178.375,92.0,92.0,171.06248,100.6875,78.0,92.0,186.15625,23.1875,88.0,90.0,90.96875,34.34375,0.0,0.0,0.0,0.0,164.0,166.0,208.56248,30.6875,178.0,162.0,222.65625,116.5,162.0,174.0,125.0625,189.375,178.0,160.0,50.6875,167.1875
29130,5,4,92.0,90.0,120.0,250.78125,94.0,82.0,182.46875,188.625,94.0,94.0,30.375,134.06248,78.0,94.0,211.31248,66.59375,88.0,92.0,182.0,63.28125,0.0,0.0,0.0,0.0,164.0,164.0,66.46875,46.125,178.0,160.0,162.875,93.90624,160.0,174.0,110.0,62.96875,178.0,158.0,62.21875,136.46875
29160,5,4,94.0,92.0,28.21875,243.65625,96.0,82.0,231.625,172.06248,94.0,96.0,223.125,123.53124,78.0,96.0,236.15625,110.03124,88.0,94.0,246.21875,99.34375,0.0,0.0,0.0,0.0,162.0,162.0,237.09375,37.0625,178.0,158.0,105.9375,70.71875,158.0,172.0,94.09375,209.03125,178.0,156.0,50.25,108.0
29190,5,4,94.0,94.0,197.1875,233.34375,100.0,82.0,33.84375,162.56248,96.0,98.0,143.53125,124.78124,78.0,98.0,241.31248,144.25,90.0,96.0,124.375,101.15624,0.0,0.0,0.0,0.0,162.0,160.0,160.75,23.96875,178.0,156.0,48.375,47.6875,156.0,174.0,70.875,32.6875,178.0,154.0,5.46875,88.1875
29220,5,4,96.0,96.0,141.56248,197.1875,102.0,82.0,90.875,135.31248,98.0,100.0,16.21875,145.75,78.0,100.0,199.5,177.875,92.0,98.0,53.96875,56.78125,0.0,0.0,0.0,0.0,160.0,158.0,211.78125,113.65624,178.0,154.0,6.34375,23.625,154.0,174.0,40.625,48.5625,178.0,152.0,73.5625,68.84375
29250,5,4,98.0,98.0,156.09375,58.21875,104.0,82.0,139.65625,61.34375,98.0,102.0,204.625,138.56248,78.0,102.0,160.65625,219.625,92.0,100.0,233.56248,39.0,0.0,0.0,0.0,0.0,158.0,156.0,235.65625,233.4375,178.0,152.0,99.3125,19.0625,150.0,174.0,253.78125,34.53125,178.0,150.0,76.28124,59.1875
29280,5,4,100.0,98.0,180.1875,160.4375,106.0,80.0,182.15625,219.71875,100.0,104.0,136.40625,131.84375,78.0,106.0,151.34375,7.15625,94.0,102.0,163.9375,17.25,0.0,0.0,0.0,0.0,158.0,154.0,120.5,245.375,178.0,150.0,59.875,6.0,148.0,172.0,223.75,203.71875,176.0,148.0,242.125,43.28125
29310,5,4,102.0,98.0,206.75,219.28125,108.0,80.0,221.40625,116.46875,100.0,106.0,226.34375,163.59375,78.0,108.0,145.25,51.4375,96.0,102.0,94.3125,251.5,0.0,0.0,0.0,0.0,158.0,152.0,54.875,229.46875,176.0,146.0,234.46875,244.9375,146.0,172.0,180.90625,204.25,176.0,146.0,127.625,36.25
29340,5,4,104.0,98.0,248.84375,223.59375,112.0,80.0,22.15625,85.1875,102.0,108.0,14.96875,216.46875,78.0,110.0,131.21875,95.59375,98.0,104.0,24.6875,229.75,0.0,0.0,0.0,0.0,158.0,150.0,16.625,208.625,176.0,144.0,176.6875,224.31248,144.0,172.0,137.65625,204.90625,176.0,144.0,128.46875,9.34375
