tick,n1,n2,x0,y0,vec_x0,vec_y0,x1,y1,vec_x1,vec_y1,x2,y2,vec_x2,vec_y2,x3,y3,vec_x3,vec_y3,x4,y4,vec_x4,vec_y4,x5,y5,vec_x5,vec_y5,x6,y6,vec_x6,vec_y6,x7,y7,vec_x7,vec_y7,x8,y8,vec_x8,vec_y8,x9,y9,vec_x9,vec_y9
26910,4,5,88.0,82.0,225.375,145.21875,86.0,84.0,32.46875,215.25,84.0,82.0,203.31248,224.53125,0.0,0.0,0.0,0.0,76.0,96.0,170.375,117.40624,174.0,168.0,44.875,46.375,164.0,176.0,197.625,15.5,172.0,172.0,19.09375,80.84375,178.0,160.0,109.71875,65.59375,178.0,162.0,62.8125,21.625
26940,4,5,92.0,82.0,44.90625,189.375,88.0,86.0,1.34375,153.4375,86.0,84.0,76.625,235.21875,0.0,0.0,0.0,0.0,76.0,98.0,138.125,147.81248,174.0,166.0,44.4375,30.90625,162.0,176.0,165.15625,33.40625,168.0,172.0,217.21875,127.25,178.0,158.0,90.3125,23.625,178.0,158.0,64.75,241.53125
26970,4,5,94.0,82.0,115.53124,220.71875,88.0,88.0,219.81248,98.84375,86.0,86.0,196.84375,239.90625,0.0,0.0,0.0,0.0,76.0,100.0,237.31248,160.59375,172.0,164.0,157.875,59.40625,160.0,176.0,132.6875,51.65625,166.0,172.0,159.46875,174.59375,178.0,154.0,33.21875,241.75,178.0,156.0,66.03124,210.75
27000,4,5,96.0,82.0,192.15625,186.09375,90.0,90.0,182.5,44.03125,88.0,88.0,184.03125,153.375,0.0,0.0,0.0,0.0,76.0,102.0,226.34375,202.0,170.0,162.0,208.59375,114.09375,158.0,176.0,100.15624,68.4375,164.0,172.0,101.75,222.03125,178.0,152.0,26.96875,215.06248,178.0,154.0,20.5,186.5
27030,4,5,100.0,82.0,13.6875,164.59375,92.0,92.0,118.34375,1.6875,90.0,90.0,171.15625,66.9375,0.0,0.0,0.0,0.0,76.0,104.0,242.03125,240.65625,168.0,160.0,245.9375,187.06248,156.0,176.0,72.25,38.75,162.0,174.0,43.4375,8.96875,178.0,150.0,106.3125,191.46875,178.0,152.0,44.21875,173.28125
27060,4,5,102.0,82.0,91.09375,142.28125,92.0,94.0,250.34375,11.875,92.0,92.0,125.125,4.40625,0.0,0.0,0.0,0.0,78.0,108.0,36.0625,22.15625,168.0,158.0,48.0625,241.28125,154.0,176.0,41.3125,4.21875,158.0,174.0,244.90625,3.0625,178.0,148.0,103.375,148.15625,178.0,150.0,104.8125,156.625
27090,4,5,104.0,82.0,166.0,93.71875,94.0,96.0,130.90625,18.96875,94.0,92.0,29.75,253.40625,0.0,0.0,0.0,0.0,78.0,110.0,83.1875,60.09375,166.0,158.0,117.90624,22.0,152.0,174.0,15.34375,228.90625,156.0,172.0,212.90625,230.81248,178.0,146.0,102.125,104.8125,178.0,148.0,33.9375,130.65625
27120,4,5,106.0,82.0,241.4375,48.875,96.0,96.0,80.3125,233.56248,94.0,94.0,200.6875,239.56248,0.0,0.0,0.0,0.0,78.0,112.0,133.81248,97.4375,164.0,156.0,180.84375,71.71875,148.0,174.0,239.4375,211.0,154.0,174.0,182.59375,67.65624,178.0,144.0,90.3125,62.0625,176.0,146.0,203.78125,107.53124
27150,4,5,110.0,82.0,60.25,0.15625,98.0,98.0,22.90625,198.125,96.0,96.0,142.34375,185.125,0.0,0.0,0.0,0.0,78.0,114.0,187.375,134.31248,162.0,154.0,176.59375,206.56248,146.0,174.0,206.40625,213.15625,152.0,174.0,122.90624,96.625,178.0,142.0,79.65624,19.09375,176.0,144.0,131.4375,80.625
27180,4,5,112.0,80.0,129.53125,184.875,98.0,100.0,204.96875,175.71875,98.0,98.0,144.40625,64.125,0.0,0.0,0.0,0.0,80.0,116.0,2.90625,166.81248,160.0,154.0,164.75,103.5625,144.0,174.0,173.40625,215.15625,150.0,174.0,61.75,100.0625,178.0,138.0,81.46875,231.75,176.0,142.0,63.0,52.65625
27210,4,5,114.0,80.0,192.71875,87.25,100.0,102.0,156.46875,132.40625,100.0,98.0,173.09375,146.59375,0.0,0.0,0.0,0.0,80.0,118.0,91.1875,195.125,158.0,154.0,149.6875,7.3125,142.0,174.0,140.46875,210.53125,148.0,174.0,0.96875,82.25,178.0,136.0,72.9375,188.53125,176.0,140.0,8.4375,21.6875
27240,4,5,118.0,80.0,14.375,64.21875,102.0,104.0,103.40624,93.4375,102.0,98.0,196.53125,221.56248,0.0,0.0,0.0,0.0,80.0,120.0,183.46875,219.46875,158.0,154.0,47.5625,6.09375,140.0,174.0,107.59375,200.90625,144.0,174.0,198.0,45.65625,178.0,134.0,43.5,146.78125,174.0,136.0,209.84375,246.71875
27270,4,5,120.0,80.0,92.59375,51.6875,104.0,106.0,50.0,54.8125,104.0,98.0,228.81248,204.375,0.0,0.0,0.0,0.0,82.0,122.0,47.0625,235.56248,156.0,152.0,208.28125,225.71875,138.0,174.0,75.0,188.59375,142.0,174.0,139.03125,7.34375,178.0,132.0,10.09375,105.28124,174.0,134.0,155.28125,215.78125
27300,4,5,122.0,80.0,170.6875,37.0,106.0,108.0,3.15625,9.8125,108.0,98.0,11.25,233.28125,0.0,0.0,0.0,0.0,82.0,126.0,107.625,15.0625,156.0,152.0,208.4375,241.375,136.0,174.0,46.3125,138.84375,140.0,172.0,79.53124,230.15625,176.0,130.0,224.28125,66.4375,174.0,132.0,45.0,205.90625
27330,4,5,124.0,80.0,248.25,44.375,106.0,108.0,214.21875,218.96875,108.0,100.0,85.15624,100.25,0.0,0.0,0.0,0.0,82.0,128.0,190.03125,44.84375,156.0,152.0,220.09375,234.06248,134.0,174.0,17.71875,88.28124,138.0,172.0,19.84375,198.625,176.0,128.0,196.15625,25.34375,172.0,130.0,114.25,243.56248
27360,4,5,128.0,80.0,55.75,47.53125,108.0,110.0,162.84375,173.81248,106.0,102.0,189.0,63.34375,0.0,0.0,0.0,0.0,84.0,130.0,50.9375,62.625,156.0,152.0,220.09375,234.06248,130.0,174.0,245.125,37.84375,134.0,172.0,215.65625,173.71875,176.0,124.0,157.21875,240.65625,170.0,130.0,163.84375,36.875
27390,4,5,130.0,78.0,128.59375,242.56248,110.0,112.0,73.46875,163.75,108.0,100.0,79.34375,186.56248,0.0,0.0,0.0,0.0,84.0,132.0,184.31248,72.34375,158.0,154.0,37.5625,32.5625,128.0,172.0,216.53125,243.56248,132.0,172.0,154.56248,162.625,176.0,122.0,103.1875,202.46875,168.0,128.0,213.40625,86.1875
27420,4,5,132.0,78.0,201.56248,182.15625,110.0,114.0,241.09375,153.09375,106.0,102.0,161.5,91.71875,0.0,0.0,0.0,0.0,86.0,134.0,110.21875,44.625,156.0,154.0,222.15625,5.875,126.0,172.0,187.25,219.25,130.0,172.0,94.21875,178.31248,176.0,120.0,62.0625,162.03125,168.0,126.0,11.09375,131.65625
27450,4,5,136.0,78.0,16.5,149.84375,112.0,116.0,151.40625,143.25,104.0,104.0,206.59375,43.5,0.0,0.0,0.0,0.0,88.0,136.0,53.0,10.125,156.0,154.0,222.15625,5.875,124.0,172.0,155.06248,231.65625,128.0,172.0,34.375,208.31248,176.0,118.0,23.53125,121.15624,166.0,124.0,88.46875,158.09375
27480,4,5,138.0,78.0,94.09375,126.03124,114.0,118.0,46.0625,142.96875,104.0,106.0,27.8125,23.9375,0.0,0.0,0.0,0.0,88.0,136.0,242.125,240.06248,156.0,154.0,222.15625,5.875,122.0,172.0,122.03124,230.46875,124.0,174.0,240.1875,17.25,174.0,116.0,240.96875,80.3125,164.0,122.0,164.15625,184.28125
