tick,n1,n2,x0,y0,vec_x0,vec_y0,x1,y1,vec_x1,vec_y1,x2,y2,vec_x2,vec_y2,x3,y3,vec_x3,vec_y3,x4,y4,vec_x4,vec_y4,x5,y5,vec_x5,vec_y5,x6,y6,vec_x6,vec_y6,x7,y7,vec_x7,vec_y7,x8,y8,vec_x8,vec_y8,x9,y9,vec_x9,vec_y9
28530,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,168.0,49.375,27.65625,178.0,164.0,219.56248,167.75
28560,4,5,92.0,78.0,241.4375,231.9375,94.0,78.0,84.90624,220.40625,74.0,96.0,229.34375,161.5,0.0,0.0,0.0,0.0,86.0,86.0,139.1875,88.5625,166.0,174.0,121.09375,231.65625,176.0,170.0,25.25,43.78125,166.0,174.0,112.34375,14.90625,178.0,166.0,53.34375,1.8125,178.0,162.0,254.59375,127.65624
28590,4,5,96.0,78.0,8.09375,179.59375,96.0,78.0,103.3125,128.875,74.0,98.0,249.31248,195.34375,0.0,0.0,0.0,0.0,88.0,88.0,101.875,18.5,164.0,174.0,100.0625,255.31248,174.0,168.0,161.96875,32.96875,164.0,174.0,68.46875,17.96875,178.0,162.0,56.90625,231.9375,178.0,160.0,243.90625,91.96875
28620,4,5,98.0,78.0,31.5,137.4375,98.0,78.0,130.90625,128.78125,74.0,100.0,148.78125,182.81248,0.0,0.0,0.0,0.0,88.0,88.0,229.53125,251.9375,162.0,176.0,79.09375,23.46875,174.0,166.0,46.375,20.40625,162.0,174.0,24.8125,5.71875,178.0,160.0,29.34375,213.46875,180.0,158.0,6.0625,60.21875
28650,4,5,100.0,78.0,84.28124,180.09375,100.0,78.0,164.6875,146.0,74.0,102.0,191.4375,219.81248,0.0,0.0,0.0,0.0,88.0,92.0,255.06248,26.21875,160.0,176.0,58.1875,48.6875,172.0,164.0,142.46875,46.75,158.0,172.0,238.96875,228.59375,178.0,158.0,14.375,204.40625,180.0,156.0,77.6875,26.78125
28680,4,5,102.0,78.0,57.28125,177.59375,102.0,78.0,198.71875,161.46875,74.0,106.0,186.59375,5.1875,0.0,0.0,0.0,0.0,90.0,94.0,31.84375,55.96875,158.0,176.0,42.15625,69.40624,170.0,162.0,188.31248,99.65624,156.0,172.0,207.6875,232.125,178.0,156.0,64.71875,197.81248,180.0,152.0,111.25,249.06248
28710,4,5,104.0,78.0,113.5,174.40625,104.0,78.0,233.125,163.0,74.0,108.0,221.375,41.9375,0.0,0.0,0.0,0.0,90.0,96.0,95.5,65.5625,156.0,176.0,22.90625,31.375,168.0,160.0,242.28125,144.31248,154.0,174.0,184.5,61.78125,178.0,154.0,13.75,178.25,180.0,150.0,53.21875,212.59375
28740,4,5,106.0,78.0,169.75,171.9375,108.0,78.0,11.5625,162.5,76.0,110.0,13.71875,79.1875,0.0,0.0,0.0,0.0,92.0,96.0,69.96875,223.40625,154.0,176.0,2.59375,0.59375,166.0,160.0,226.21875,46.75,152.0,174.0,141.125,78.96875,178.0,152.0,47.0625,166.78125,180.0,148.0,35.34375,172.125
28770,4,5,108.0,78.0,221.84375,185.53125,110.0,78.0,46.0,162.09375,76.0,112.0,49.625,118.40624,0.0,0.0,0.0,0.0,92.0,98.0,216.40625,71.71875,150.0,174.0,238.375,224.875,164.0,158.0,202.6875,216.96875,150.0,174.0,100.84375,44.90625,178.0,150.0,100.625,162.28125,180.0,146.0,25.0625,130.15625
28800,4,5,112.0,80.0,11.3125,6.625,112.0,78.0,80.46875,161.75,76.0,114.0,81.09375,158.125,0.0,0.0,0.0,0.0,94.0,98.0,110.0625,202.78125,148.0,174.0,217.4375,207.78125,162.0,158.0,205.5,103.4375,148.0,174.0,59.46875,18.75,178.0,148.0,23.84375,147.125,178.0,144.0,216.06248,96.6875
28830,4,5,114.0,80.0,66.84375,16.90625,114.0,78.0,114.90624,162.375,76.0,116.0,147.4375,192.06248,0.0,0.0,0.0,0.0,94.0,100.0,162.81248,38.375,146.0,174.0,195.40625,210.25,162.0,156.0,74.4375,101.09375,146.0,174.0,15.5625,21.0,176.0,146.0,199.6875,132.875,178.0,142.0,137.78125,66.375
28860,4,5,116.0,80.0,123.0625,21.28125,116.0,78.0,149.34375,164.25,76.0,118.0,214.9375,225.71875,0.0,0.0,0.0,0.0,96.0,100.0,155.5,184.875,144.0,174.0,174.125,202.03125,160.0,154.0,128.59375,155.28125,142.0,172.0,244.03125,181.21875,176.0,144.0,163.46875,111.875,178.0,140.0,39.6875,40.8125
28890,4,5,118.0,80.0,179.28125,25.4375,118.0,78.0,181.6875,196.71875,76.0,122.0,236.90625,9.25,0.0,0.0,0.0,0.0,98.0,102.0,148.375,75.5,142.0,174.0,152.1875,195.56248,158.0,152.0,167.56248,215.46875,140.0,172.0,218.4375,78.0625,176.0,142.0,108.4375,91.46875,176.0,138.0,214.31248,10.40625
28920,4,5,120.0,80.0,235.53125,26.84375,120.0,78.0,213.28125,237.21875,76.0,124.0,249.40625,50.1875,0.0,0.0,0.0,0.0,100.0,102.0,132.15625,235.90625,140.0,174.0,130.21875,192.65625,156.0,152.0,209.875,15.875,138.0,172.0,181.25,39.34375,176.0,140.0,63.96875,69.09375,176.0,134.0,176.75,226.71875
28950,4,5,124.0,80.0,35.78125,28.25,122.0,80.0,168.06248,11.9375,78.0,126.0,0.875,90.59375,0.0,0.0,0.0,0.0,102.0,104.0,56.9375,171.40625,138.0,174.0,120.5625,115.71875,154.0,150.0,253.375,71.03124,136.0,170.0,167.40625,227.34375,176.0,138.0,24.3125,46.03125,176.0,132.0,194.75,187.46875
28980,4,5,126.0,80.0,78.125,59.5,124.0,80.0,199.46875,53.8125,78.0,128.0,9.09375,130.09375,0.0,0.0,0.0,0.0,102.0,106.0,68.6875,204.46875,136.0,174.0,101.625,75.8125,154.0,148.0,40.875,126.1875,134.0,170.0,223.40625,3.84375,174.0,136.0,240.65625,22.9375,176.0,130.0,234.6875,148.0
29010,4,5,128.0,80.0,104.3125,186.25,126.0,80.0,225.25,122.96875,78.0,130.0,17.96875,171.28125,0.0,0.0,0.0,0.0,102.0,108.0,60.59375,236.125,134.0,174.0,87.75,10.625,152.0,146.0,83.0625,182.71875,134.0,168.0,17.25,42.09375,174.0,132.0,200.53125,255.90625,176.0,128.0,201.0,115.65624
29040,4,5,130.0,82.0,134.56248,54.09375,128.0,80.0,248.6875,201.53125,78.0,132.0,34.65625,212.25,0.0,0.0,0.0,0.0,102.0,112.0,27.5625,11.78125,132.0,172.0,79.03124,181.625,150.0,144.0,124.4375,240.1875,132.0,166.0,63.4375,83.8125,174.0,130.0,159.90625,232.96875,176.0,126.0,148.96875,78.0625
29070,4,5,132.0,82.0,171.4375,162.40625,132.0,82.0,14.84375,29.0,78.0,134.0,51.3125,253.21875,0.0,0.0,0.0,0.0,100.0,114.0,223.90625,38.625,130.0,172.0,70.34375,96.59375,148.0,144.0,165.78125,41.625,130.0,166.0,146.21875,113.34375,174.0,128.0,149.875,208.75,176.0,124.0,94.34375,40.9375
29100,4,5,134.0,84.0,208.28125,14.75,134.0,82.0,40.6875,99.09375,78.0,138.0,43.125,38.21875,0.0,0.0,0.0,0.0,100.0,116.0,176.5,59.90625,128.0,172.0,59.75,21.0625,146.0,142.0,242.15625,67.65624,130.0,168.0,11.3125,91.0625,174.0,126.0,145.25,182.96875,176.0,122.0,21.25,7.9375
29130,4,5,136.0,84.0,245.71875,121.5,136.0,82.0,58.53125,190.78125,78.0,138.0,209.5,131.59375,0.0,0.0,0.0,0.0,102.0,118.0,40.5625,45.875,126.0,170.0,61.625,164.28125,146.0,140.0,28.34375,128.1875,128.0,170.0,128.06248,44.0625,174.0,124.0,129.9375,157.53125,174.0,120.0,142.53125,1.25
29160,4,5,140.0,84.0,27.1875,228.15625,138.0,84.0,64.5625,60.09375,80.0,140.0,77.6875,144.34375,0.0,0.0,0.0,0.0,102.0,116.0,88.46875,19.75,124.0,170.0,68.6875,40.96875,144.0,138.0,50.6875,208.40625,126.0,170.0,129.03125,200.6875,174.0,122.0,0.375,203.5,174.0,116.0,55.21875,229.4375
29190,4,5,142.0,86.0,65.84375,75.40624,140.0,84.0,70.09375,186.46875,80.0,142.0,120.40624,164.96875,0.0,0.0,0.0,0.0,102.0,112.0,69.46875,242.81248,122.0,168.0,105.40624,126.03124,142.0,136.0,193.0,199.65625,124.0,172.0,93.8125,16.3125,172.0,122.0,5.75,74.46875,174.0,114.0,28.84375,188.46875
29220,4,5,144.0,86.0,101.4375,155.53125,142.0,86.0,76.3125,55.34375,80.0,144.0,119.21875,191.4375,0.0,0.0,0.0,0.0,102.0,110.0,43.25,210.53125,120.0,168.0,88.125,100.34375,140.0,134.0,242.09375,253.53125,122.0,172.0,116.78124,73.5,170.0,120.0,71.15624,140.125,174.0,112.0,10.40625,146.84375
29250,4,5,146.0,86.0,157.65625,158.71875,144.0,86.0,93.71875,139.0,82.0,146.0,8.34375,193.34375,0.0,0.0,0.0,0.0,100.0,108.0,228.9375,190.125,118.0,168.0,83.3125,73.75,140.0,134.0,22.5625,60.40625,120.0,172.0,78.59375,131.71875,168.0,118.0,180.5,155.375,172.0,110.0,232.6875,106.625
29280,4,5,148.0,86.0,213.90625,159.31248,146.0,86.0,119.8125,116.84375,82.0,148.0,178.09375,181.56248,0.0,0.0,0.0,0.0,100.0,106.0,25.21875,244.4375,116.0,166.0,233.375,72.6875,138.0,132.0,68.5,120.4375,118.0,172.0,97.125,159.9375,168.0,116.0,63.5,164.625,172.0,108.0,164.46875,74.9375
29310,4,5,152.0,86.0,14.15625,159.5,148.0,86.0,152.5,89.5625,84.0,150.0,89.75,171.21875,0.0,0.0,0.0,0.0,98.0,106.0,96.75,28.0625,116.0,164.0,125.9375,201.75,136.0,130.0,245.625,115.96875,118.0,172.0,97.125,159.9375,166.0,114.0,233.21875,152.25,172.0,106.0,38.3125,61.0
29340,4,5,154.0,86.0,70.40624,157.53125,150.0,86.0,186.875,82.59375,86.0,152.0,1.59375,160.78125,0.0,0.0,0.0,0.0,96.0,104.0,220.90625,26.25,116.0,162.0,59.5625,193.09375,136.0,128.0,155.40625,101.34375,118.0,172.0,97.125,159.9375,164.0,114.0,251.90625,93.375,170.0,104.0,163.25,49.15625
